OrderID,OrderDate,ProductName,Category,Quantity,CostPrice,SellingPrice,TotalPrice,Profit,,,
GLF-1051,15/12/2024,3-Door Wooden Wardrobe,Wardrobe,1,"41,000.00","50,000.00","50,000.00","9,000.00",,,
GLF-1052,22/12/2024,Dining Chair Set (Set of 4),Chair,1,"10,000.00","13,000.00","13,000.00","3,000.00",,,
GLF-1053,09/01/2025,Sofa (3+1+1),Sofa,1,"44,500.00","53,000.00","53,000.00","8,500.00",,,
GLF-1054,20/01/2025,2-Door Wardrobe,Wardrobe,1,"25,500.00","32,000.00","32,000.00","6,500.00",,,
GLF-1055,28/01/2025,King Size Bed with Storage,Bed,1,"47,000.00","59,000.00","59,000.00","12,000.00",,,
GLF-1056,05/02/2025,Modular Kitchen Cabinets,Custom,1,"85,000.00","110,000.00","110,000.00","25,000.00",,,
GLF-1057,17/02/2025,Sheesham Dining Table (6-Seater),Table,1,"38,000.00","46,000.00","46,000.00","8,000.00",,,
GLF-1058,25/02/2025,Sheesham Wood Queen Bed,Bed,1,"29,000.00","39,000.00","39,000.00","10,000.00",,,
GLF-1059,07/03/2025,Wooden Rocking Chair,Chair,1,"7,500.00","9,500.00","9,500.00","2,000.00",,,
GLF-1060,19/03/2025,Wooden Temple (Mandir),Custom,1,"15,500.00","20,000.00","20,000.00","4,500.00",,,
GLF-1061,28/03/2025,Wooden Coffee Table,Table,1,"7,500.00","9,000.00","9,000.00","1,500.00",,,
GLF-1062,09/04/2025,Full Room Custom Set,Custom,1,"140,000.00","190,000.00","190,000.00","50,000.00",,,
GLF-1063,16/04/2025,Sofa (3+1+1),Sofa,1,"45,000.00","54,000.00","54,000.00","9,000.00",,,
GLF-1064,24/04/2025,King Size Bed with Storage,Bed,1,"48,000.00","60,000.00","60,000.00","12,000.00",,,
GLF-1065,30/04/2025,Sheesham Wood Queen Bed,Bed,1,"30,000.00","40,000.00","40,000.00","10,000.00",,,
GLF-1066,07/05/2025,3-Door Wooden Wardrobe,Wardrobe,1,"42,500.00","52,000.00","52,000.00","9,500.00",,,
GLF-1067,15/05/2025,Sheesham Dining Table (6-Seater),Table,1,"38,500.00","47,000.00","47,000.00","8,500.00",,,
GLF-1068,22/05/2025,Sofa (3+1+1),Sofa,1,"45,000.00","54,000.00","54,000.00","9,000.00",,,
GLF-1069,29/05/2025,King Size Bed with Storage,Bed,1,"47,500.00","60,000.00","60,000.00","12,500.00",,,
GLF-1070,04/06/2025,Sheesham Wood Queen Bed,Bed,1,"30,000.00","40,000.00","40,000.00","10,000.00",,,
GLF-1od 71,11/06/2025,Dining Chair Set (Set of 4),Chair,1,"11,000.00","14,000.00","14,000.00","3,000.00",,,
GLF-1072,18/06/2025,Sofa (3+1+1),Sofa,1,"46,000.00","55,000.00","55,000.00","9,000.00",,,
GLF-1073,25/06/2025,3-Door Wooden Wardrobe,Wardrobe,1,"42,500.00","52,000.00","52,000.00","9,500.00",,,
GLF-1074,28/06/2025,Wooden Coffee Table,Table,1,"7,700.00","9,200.00","9,200.00","1,500.00",,,
GLF-1075,30/06/2025,King Size Bed with Storage,Bed,1,"48,000.00","61,000.00","61,000.00","13,000.00",,,
